id,latitude,longitude,crop_type,season,year,source,confidence,crop_class,crop_label
198,15.27276,74.81818,Tur_Dal,Kharif_2023,2023,representative_sample,0.94,Pulses,9
130,15.63067,75.910546,Jowar,Kharif_2023,2023,representative_sample,0.9,Jowar,5
43,15.029215,75.893648,Cotton,Kharif_2023,2023,representative_sample,0.96,Cotton,2
55,15.343413,75.85813,Cotton,Kharif_2023,2023,representative_sample,0.96,Cotton,2
22,16.026921,75.764278,Sugarcane,Kharif_2023,2023,representative_sample,0.93,Sugarcane,11
119,16.455601,74.767852,Maize,Kharif_2023,2023,representative_sample,0.99,Maize,6
112,15.162143,75.80825,Maize,Kharif_2023,2023,representative_sample,0.96,Maize,6
29,15.599101,74.828981,Sugarcane,Kharif_2023,2023,representative_sample,1.0,Sugarcane,11
134,15.697482,75.16324,Jowar,Kharif_2023,2023,representative_sample,0.76,Jowar,5
13,16.244107,75.42778,Sugarcane,Kharif_2023,2023,representative_sample,0.96,Sugarcane,11
106,16.326202,75.109566,Maize,Kharif_2023,2023,representative_sample,0.89,Maize,6
46,15.728986,74.603819,Cotton,Kharif_2023,2023,representative_sample,0.93,Cotton,2
93,15.160554,75.329835,Soybean,Kharif_2023,2023,representative_sample,0.78,Soybean,10
27,15.39732,74.869941,Sugarcane,Kharif_2023,2023,representative_sample,0.87,Sugarcane,11
167,15.701085,74.691442,Groundnut,Kharif_2023,2023,representative_sample,0.89,Groundnut,4
72,15.634511,75.935976,Soybean,Kharif_2023,2023,representative_sample,1.0,Soybean,10
159,15.630215,75.857258,Groundnut,Kharif_2023,2023,representative_sample,0.88,Groundnut,4
155,15.407573,74.979564,Groundnut,Kharif_2023,2023,representative_sample,0.86,Groundnut,4
135,15.709779,75.851771,Jowar,Kharif_2023,2023,representative_sample,0.94,Jowar,5
60,15.646577,75.135368,Cotton,Kharif_2023,2023,representative_sample,0.84,Cotton,2
47,16.148752,74.692587,Cotton,Kharif_2023,2023,representative_sample,0.84,Cotton,2
143,15.984087,74.508317,Jowar,Kharif_2023,2023,representative_sample,0.93,Jowar,5
2,15.334816,75.604707,Sugarcane,Kharif_2023,2023,representative_sample,0.9,Sugarcane,11
89,16.250617,75.55531,Soybean,Kharif_2023,2023,representative_sample,0.88,Soybean,10
39,16.368942,75.805778,Cotton,Kharif_2023,2023,representative_sample,0.79,Cotton,2
62,15.147627,75.103932,Cotton,Kharif_2023,2023,representative_sample,0.8,Cotton,2
61,16.093614,75.510047,Cotton,Kharif_2023,2023,representative_sample,1.0,Cotton,2
25,16.314551,74.972017,Sugarcane,Kharif_2023,2023,representative_sample,0.9,Sugarcane,11
21,16.484285,75.46,Sugarcane,Kharif_2023,2023,representative_sample,0.87,Sugarcane,11
24,15.401611,74.816474,Sugarcane,Kharif_2023,2023,representative_sample,0.98,Sugarcane,11
153,16.148721,75.28195,Bajra,Kharif_2023,2023,representative_sample,0.89,Bajra,0
186,15.900617,74.681583,Tur_Dal,Kharif_2023,2023,representative_sample,1.0,Pulses,9
26,15.593448,75.871821,Sugarcane,Kharif_2023,2023,representative_sample,0.84,Sugarcane,11
178,16.004188,75.345954,Paddy,Kharif_2023,2023,representative_sample,0.77,Paddy,8
122,15.767135,75.077793,Maize,Kharif_2023,2023,representative_sample,0.87,Maize,6
110,16.396224,75.703353,Maize,Kharif_2023,2023,representative_sample,0.96,Maize,6
19,15.972053,75.413697,Sugarcane,Kharif_2023,2023,representative_sample,0.75,Sugarcane,11
37,15.680586,75.930724,Cotton,Kharif_2023,2023,representative_sample,0.96,Cotton,2
98,16.156679,75.45567,Soybean,Kharif_2023,2023,representative_sample,0.78,Soybean,10
11,16.210692,75.594598,Sugarcane,Kharif_2023,2023,representative_sample,0.86,Sugarcane,11
6,15.817412,74.830661,Sugarcane,Kharif_2023,2023,representative_sample,0.88,Sugarcane,11
136,15.254537,74.627193,Jowar,Kharif_2023,2023,representative_sample,0.85,Jowar,5
87,15.397801,75.899889,Soybean,Kharif_2023,2023,representative_sample,0.96,Soybean,10
165,15.653754,74.543537,Groundnut,Kharif_2023,2023,representative_sample,0.8,Groundnut,4
35,16.022566,75.305455,Cotton,Kharif_2023,2023,representative_sample,0.78,Cotton,2
108,16.464309,75.716158,Maize,Kharif_2023,2023,representative_sample,0.96,Maize,6
68,16.38955,75.773044,Cotton,Kharif_2023,2023,representative_sample,0.75,Cotton,2
91,16.225656,74.949068,Soybean,Kharif_2023,2023,representative_sample,0.9,Soybean,10
162,16.130213,75.780172,Groundnut,Kharif_2023,2023,representative_sample,0.99,Groundnut,4
147,15.684693,75.702125,Bajra,Kharif_2023,2023,representative_sample,0.9,Bajra,0
192,16.448211,74.905124,Tur_Dal,Kharif_2023,2023,representative_sample,0.94,Pulses,9
161,15.570572,74.508844,Groundnut,Kharif_2023,2023,representative_sample,0.81,Groundnut,4
58,15.856565,75.209007,Cotton,Kharif_2023,2023,representative_sample,0.94,Cotton,2
38,15.395084,75.250879,Cotton,Kharif_2023,2023,representative_sample,0.75,Cotton,2
151,16.345812,75.615483,Bajra,Kharif_2023,2023,representative_sample,0.84,Bajra,0
104,16.291054,75.848387,Maize,Kharif_2023,2023,representative_sample,0.76,Maize,6
86,16.494145,74.609891,Soybean,Kharif_2023,2023,representative_sample,0.76,Soybean,10
12,16.459674,75.067802,Sugarcane,Kharif_2023,2023,representative_sample,0.87,Sugarcane,11
199,15.510508,75.82048,Tur_Dal,Kharif_2023,2023,representative_sample,0.91,Pulses,9
48,15.824705,74.897585,Cotton,Kharif_2023,2023,representative_sample,0.96,Cotton,2
84,15.449996,74.974266,Soybean,Kharif_2023,2023,representative_sample,0.93,Soybean,10
142,16.044531,75.241566,Jowar,Kharif_2023,2023,representative_sample,0.77,Jowar,5
109,15.03718,75.604847,Maize,Kharif_2023,2023,representative_sample,0.8,Maize,6
185,15.152852,75.658721,Tur_Dal,Kharif_2023,2023,representative_sample,0.96,Pulses,9
34,16.29117,74.517222,Cotton,Kharif_2023,2023,representative_sample,0.92,Cotton,2
73,15.833652,75.577612,Soybean,Kharif_2023,2023,representative_sample,0.75,Soybean,10
133,15.644832,75.369977,Jowar,Kharif_2023,2023,representative_sample,0.9,Jowar,5
117,15.962223,75.099518,Maize,Kharif_2023,2023,representative_sample,0.99,Maize,6
171,15.31749,74.990269,Paddy,Kharif_2023,2023,representative_sample,0.93,Paddy,8
184,15.113995,75.535922,Tur_Dal,Kharif_2023,2023,representative_sample,0.89,Pulses,9
101,16.355893,75.318385,Maize,Kharif_2023,2023,representative_sample,0.95,Maize,6
85,15.108815,75.187428,Soybean,Kharif_2023,2023,representative_sample,1.0,Soybean,10
145,15.26383,75.936949,Bajra,Kharif_2023,2023,representative_sample,0.86,Bajra,0
158,15.813917,75.123661,Groundnut,Kharif_2023,2023,representative_sample,0.76,Groundnut,4
57,15.321355,74.698468,Cotton,Kharif_2023,2023,representative_sample,0.98,Cotton,2
196,15.365795,75.197063,Tur_Dal,Kharif_2023,2023,representative_sample,0.88,Pulses,9
120,15.3982,74.662604,Maize,Kharif_2023,2023,representative_sample,0.83,Maize,6
200,15.414403,74.515227,Tur_Dal,Kharif_2023,2023,representative_sample,0.98,Pulses,9
138,16.126707,75.509194,Jowar,Kharif_2023,2023,representative_sample,0.77,Jowar,5
16,15.349186,74.651502,Sugarcane,Kharif_2023,2023,representative_sample,0.78,Sugarcane,11
23,15.343572,74.54815,Sugarcane,Kharif_2023,2023,representative_sample,0.79,Sugarcane,11
193,15.807259,75.225246,Tur_Dal,Kharif_2023,2023,representative_sample,0.83,Pulses,9
50,16.094897,74.801727,Cotton,Kharif_2023,2023,representative_sample,0.79,Cotton,2
80,15.369323,75.391779,Soybean,Kharif_2023,2023,representative_sample,0.89,Soybean,10
131,16.354208,75.423272,Jowar,Kharif_2023,2023,representative_sample,0.79,Jowar,5
160,16.043284,75.785098,Groundnut,Kharif_2023,2023,representative_sample,0.93,Groundnut,4
78,15.278737,75.392553,Soybean,Kharif_2023,2023,representative_sample,0.9,Soybean,10
51,16.492724,75.474817,Cotton,Kharif_2023,2023,representative_sample,0.83,Cotton,2
74,15.445062,75.953064,Soybean,Kharif_2023,2023,representative_sample,0.87,Soybean,10
176,16.13135,75.924418,Paddy,Kharif_2023,2023,representative_sample,0.76,Paddy,8
172,15.568689,75.628015,Paddy,Kharif_2023,2023,representative_sample,0.95,Paddy,8
154,15.411896,74.616225,Bajra,Kharif_2023,2023,representative_sample,0.79,Bajra,0
187,16.173953,75.020806,Tur_Dal,Kharif_2023,2023,representative_sample,0.83,Pulses,9
99,16.111846,75.327521,Soybean,Kharif_2023,2023,representative_sample,0.83,Soybean,10
40,15.958424,75.413455,Cotton,Kharif_2023,2023,representative_sample,0.75,Cotton,2
150,15.757167,75.745854,Bajra,Kharif_2023,2023,representative_sample,0.86,Bajra,0
100,15.014505,74.612866,Soybean,Kharif_2023,2023,representative_sample,0.96,Soybean,10
83,15.358029,75.093679,Soybean,Kharif_2023,2023,representative_sample,0.9,Soybean,10
88,16.318905,75.054291,Soybean,Kharif_2023,2023,representative_sample,0.75,Soybean,10
183,16.437259,75.094982,Tur_Dal,Kharif_2023,2023,representative_sample,0.91,Pulses,9
8,16.047209,75.010376,Sugarcane,Kharif_2023,2023,representative_sample,0.75,Sugarcane,11
67,16.498924,75.754041,Cotton,Kharif_2023,2023,representative_sample,0.99,Cotton,2
194,16.096539,74.902593,Tur_Dal,Kharif_2023,2023,representative_sample,0.96,Pulses,9
137,15.949411,75.002782,Jowar,Kharif_2023,2023,representative_sample,0.95,Jowar,5
20,16.09369,74.745104,Sugarcane,Kharif_2023,2023,representative_sample,0.81,Sugarcane,11
4,15.044696,74.827957,Sugarcane,Kharif_2023,2023,representative_sample,0.85,Sugarcane,11
146,15.075328,74.873797,Bajra,Kharif_2023,2023,representative_sample,0.95,Bajra,0
107,15.23183,75.894822,Maize,Kharif_2023,2023,representative_sample,0.96,Maize,6
121,16.092818,74.970516,Maize,Kharif_2023,2023,representative_sample,0.88,Maize,6
132,15.821906,74.500609,Jowar,Kharif_2023,2023,representative_sample,0.79,Jowar,5
168,15.04045,75.09103,Groundnut,Kharif_2023,2023,representative_sample,0.87,Groundnut,4
124,16.388363,75.307678,Maize,Kharif_2023,2023,representative_sample,0.92,Maize,6
49,15.634707,74.817697,Cotton,Kharif_2023,2023,representative_sample,0.86,Cotton,2
190,16.441181,75.453378,Tur_Dal,Kharif_2023,2023,representative_sample,0.95,Pulses,9
114,15.457786,75.693018,Maize,Kharif_2023,2023,representative_sample,0.77,Maize,6
174,15.809129,75.999862,Paddy,Kharif_2023,2023,representative_sample,0.8,Paddy,8
31,15.164474,75.441169,Cotton,Kharif_2023,2023,representative_sample,0.94,Cotton,2
41,16.143766,75.309069,Cotton,Kharif_2023,2023,representative_sample,0.93,Cotton,2
157,16.059629,74.596343,Groundnut,Kharif_2023,2023,representative_sample,0.82,Groundnut,4
63,16.292509,74.872985,Cotton,Kharif_2023,2023,representative_sample,0.76,Cotton,2
144,16.155069,74.659881,Jowar,Kharif_2023,2023,representative_sample,0.83,Jowar,5
52,15.776364,74.681506,Cotton,Kharif_2023,2023,representative_sample,0.77,Cotton,2
390,15.898987,74.511531,Sugarcane,Rabi_2023,2023,representative_sample,0.79,Sugarcane,11
269,15.734461,74.722893,Chickpea,Rabi_2023,2023,representative_sample,0.86,Chickpea,1
267,15.761607,75.730824,Chickpea,Rabi_2023,2023,representative_sample,0.78,Chickpea,1
244,16.134403,75.205751,Jowar_Rabi,Rabi_2023,2023,representative_sample,0.9,Jowar,5
384,15.078913,74.736115,Sugarcane,Rabi_2023,2023,representative_sample,0.89,Sugarcane,11
356,15.412524,75.449615,Fallow,Rabi_2023,2023,representative_sample,0.86,Fallow,3
242,15.862799,75.926179,Jowar_Rabi,Rabi_2023,2023,representative_sample,1.0,Jowar,5
347,15.261369,74.578599,Fallow,Rabi_2023,2023,representative_sample,0.92,Fallow,3
342,15.492839,74.721331,Fallow,Rabi_2023,2023,representative_sample,0.97,Fallow,3
314,15.385455,75.737035,Sunflower,Rabi_2023,2023,representative_sample,0.84,Sunflower,12
261,16.248215,75.247563,Chickpea,Rabi_2023,2023,representative_sample,0.91,Chickpea,1
363,15.640146,75.497662,Sugarcane,Rabi_2023,2023,representative_sample,0.81,Sugarcane,11
370,16.452598,75.400615,Sugarcane,Rabi_2023,2023,representative_sample,0.81,Sugarcane,11
333,15.555795,75.165075,Onion,Rabi_2023,2023,representative_sample,0.99,Vegetables,13
375,16.22764,75.42036,Sugarcane,Rabi_2023,2023,representative_sample,0.89,Sugarcane,11
225,16.485047,74.95807,Wheat,Rabi_2023,2023,representative_sample,0.89,Wheat,14
291,15.848892,75.688779,Safflower,Rabi_2023,2023,representative_sample,0.75,Oilseeds,7
241,15.13699,75.942867,Jowar_Rabi,Rabi_2023,2023,representative_sample,0.95,Jowar,5
340,15.846867,74.602915,Onion,Rabi_2023,2023,representative_sample,0.93,Vegetables,13
302,15.987345,74.911721,Sunflower,Rabi_2023,2023,representative_sample,0.87,Sunflower,12
255,16.139986,74.805337,Chickpea,Rabi_2023,2023,representative_sample,0.86,Chickpea,1
337,16.27205,75.182076,Onion,Rabi_2023,2023,representative_sample,0.9,Vegetables,13
299,15.298825,75.07704,Safflower,Rabi_2023,2023,representative_sample,0.84,Oilseeds,7
254,15.542669,75.634665,Jowar_Rabi,Rabi_2023,2023,representative_sample,0.89,Jowar,5
217,15.704095,75.160703,Wheat,Rabi_2023,2023,representative_sample,0.76,Wheat,14
257,15.182139,75.95972,Chickpea,Rabi_2023,2023,representative_sample,0.88,Chickpea,1
292,15.118453,75.806259,Safflower,Rabi_2023,2023,representative_sample,0.89,Oilseeds,7
280,15.231542,75.204236,Chickpea,Rabi_2023,2023,representative_sample,0.99,Chickpea,1
396,15.028112,75.881744,Vegetables,Rabi_2023,2023,representative_sample,0.96,Vegetables,13
287,15.147665,75.450622,Safflower,Rabi_2023,2023,representative_sample,0.96,Oilseeds,7
368,15.183347,75.030397,Sugarcane,Rabi_2023,2023,representative_sample,0.9,Sugarcane,11
275,15.995533,75.731121,Chickpea,Rabi_2023,2023,representative_sample,0.99,Chickpea,1
374,16.210832,75.767733,Sugarcane,Rabi_2023,2023,representative_sample,0.99,Sugarcane,11
235,16.239947,74.607115,Jowar_Rabi,Rabi_2023,2023,representative_sample,0.75,Jowar,5
318,16.469913,75.950905,Sunflower,Rabi_2023,2023,representative_sample,0.94,Sunflower,12
248,16.2866,74.994705,Jowar_Rabi,Rabi_2023,2023,representative_sample,0.91,Jowar,5
359,16.052669,75.779189,Fallow,Rabi_2023,2023,representative_sample,0.9,Fallow,3
376,15.039381,75.893626,Sugarcane,Rabi_2023,2023,representative_sample,0.95,Sugarcane,11
245,16.374109,74.772234,Jowar_Rabi,Rabi_2023,2023,representative_sample,0.88,Jowar,5
258,15.358946,74.737567,Chickpea,Rabi_2023,2023,representative_sample,0.87,Chickpea,1
