latitude,longitude,period_8day,T_mean,T_max,T_min,RH2M,WS2M,Rs,rainfall_8day_mm,ETo_8day_mm,period_start_date
15.0,74.5,0,23.3675,30.09,17.22,71.44375,0.48125,16.92875,0.0,17.499969236292955,2023-01-01
15.0,74.5,1,22.2175,31.38,14.74,61.41375,0.5225,20.21875,0.0,23.980089695173106,2023-01-09
15.0,74.5,2,23.162499999999998,32.15,15.43,62.792500000000004,0.445,20.25875,0.0,24.14682064023132,2023-01-17
15.0,74.5,3,24.565,34.1,16.4,63.57625,0.3825,18.88,0.01,22.209333374696474,2023-01-25
15.0,74.5,4,26.216250000000002,35.88,18.49,57.5675,0.43624999999999997,19.81125,0.0,24.800744507402033,2023-02-02
15.0,74.5,5,26.39375,37.49,16.3,42.73875,0.47,23.70875,0.0,34.01169152934145,2023-02-10
15.0,74.5,6,26.75375,36.45,17.74,52.2725,0.4175,23.545,0.0,32.06795296122729,2023-02-18
15.0,74.5,7,27.76375,37.66,18.6,38.33125,0.47625,22.99,0.0,32.53017920170138,2023-02-26
15.0,74.5,8,28.50375,37.72,20.17,38.48,0.43,22.89125,0.01,31.802795044510948,2023-03-06
15.0,74.5,9,26.82375,34.85,18.4,59.68625,0.4875,22.52125,0.37,26.50450944881498,2023-03-14
15.0,74.5,10,27.1675,35.67,19.47,55.485,0.46875,25.830000000000002,0.0,33.467451035940385,2023-03-22
15.0,74.5,11,27.075,37.42,18.94,59.33125,0.445,26.4225,0.11,34.17712613063097,2023-03-30
15.0,74.5,12,29.11,36.85,22.69,60.605,0.3475,23.07,4.6899999999999995,27.759528625183414,2023-04-07
15.0,74.5,13,29.50625,38.22,23.29,60.12625,0.3875,23.896250000000002,4.33,30.250237564924895,2023-04-15
15.0,74.5,14,28.96125,36.87,21.85,58.651250000000005,0.41375,24.5425,2.34,30.432951380169715,2023-04-23
15.0,74.5,15,28.5925,36.07,23.04,60.3775,0.45,23.98625,14.74,27.557403357002492,2023-05-01
15.0,74.5,16,28.5175,36.85,23.59,75.37,0.38125,22.25625,32.22,23.765306712743676,2023-05-09
15.0,74.5,17,29.50375,37.64,23.34,66.78875,0.405,25.57625,11.19,31.983696714576944,2023-05-17
15.0,74.5,18,28.46,36.68,23.29,71.69375,0.40375,22.31625,19.56,24.606137224341616,2023-05-25
15.0,74.5,19,28.403750000000002,36.3,24.51,75.445,0.46125,24.22875,24.83,24.85792056221852,2023-06-02
15.0,74.5,20,27.45375,32.22,24.72,81.91,0.59875,21.06625,72.63,18.238924153006792,2023-06-10
15.0,74.5,21,26.46,31.88,23.28,85.525,0.47875,17.535,170.43,14.297455157493284,2023-06-18
15.0,74.5,22,25.48125,29.09,22.4,89.755,0.59875,13.435,287.8,9.15708845192232,2023-06-26
15.0,74.5,23,25.09875,28.42,22.98,91.96625,0.64125,10.64125,343.46999999999997,6.701720235400881,2023-07-04
15.0,74.5,24,25.07125,28.21,22.93,92.885,0.63625,11.219999999999999,222.99,6.8919540359549565,2023-07-12
15.0,74.5,25,24.43625,26.42,22.96,94.8325,0.74625,6.97625,538.71,3.489854459017419,2023-07-20
15.0,74.5,26,24.83,27.92,23.14,91.66125,0.67875,13.765,97.22,8.87853527439442,2023-07-28
15.0,74.5,27,25.0125,29.17,22.46,89.78375,0.52375,16.15625,29.13,12.307586224464957,2023-08-05
15.0,74.5,28,24.8725,29.02,22.17,89.26375,0.535,16.26875,45.17,12.758464531324979,2023-08-13
15.0,74.5,29,25.26125,29.64,21.95,88.03375,0.45125,18.2925,42.55,15.008335941572009,2023-08-21
15.0,74.5,30,25.14625,30.29,22.54,89.09625,0.4275,17.36625,48.79,13.580620351098217,2023-08-29
15.0,74.5,31,25.4375,29.26,23.21,89.41875,0.5125,17.34875,44.62,12.97224455581721,2023-09-06
15.0,74.5,32,25.46625,29.25,23.27,90.3325,0.50875,15.780000000000001,105.4,11.45626681616032,2023-09-14
15.0,74.5,33,24.798750000000002,28.95,22.57,91.53875,0.4675,14.1675,157.0,9.872128198433025,2023-09-22
15.0,74.5,34,24.89125,30.29,22.07,90.0375,0.47000000000000003,13.45,46.13,10.054874251324286,2023-09-30
15.0,74.5,35,26.0875,30.46,22.32,87.91375,0.34375,18.08625,3.7199999999999998,14.801843777033715,2023-10-08
15.0,74.5,36,25.458750000000002,30.17,20.97,86.5225,0.35625,18.3475,4.01,15.932243064038005,2023-10-16
15.0,74.5,37,24.26125,30.2,16.85,84.71,0.4325,18.72,5.3999999999999995,17.333653895285458,2023-10-24
15.0,74.5,38,25.25125,29.38,22.39,89.3375,0.34625,13.8275,42.03,10.001626167883112,2023-11-01
15.0,74.5,39,24.38125,28.91,19.81,85.315,0.39875,15.8825,14.25,13.299321604612489,2023-11-09
