date,year,latitude,longitude,T_mean,T_max,T_min,RH2M,WS2M,Rs,precipitation,ETo_hargreaves
2023-01-01,2023,15.0,74.5,23.1,29.03,18.75,77.16,0.46,17.63,0.0,2.1695026090222393
2023-01-02,2023,15.0,74.5,23.09,29.76,17.22,75.52,0.46,17.97,0.0,2.441754265262266
2023-01-03,2023,15.0,74.5,23.22,29.31,18.22,76.47,0.5,16.94,0.0,2.1715150027966494
2023-01-04,2023,15.0,74.5,23.31,29.28,18.52,75.56,0.48,16.6,0.0,2.1006306580764793
2023-01-05,2023,15.0,74.5,23.05,29.4,17.71,70.25,0.48,18.0,0.0,2.359173170858849
2023-01-06,2023,15.0,74.5,23.7,30.09,18.19,67.05,0.5,16.71,0.0,2.244843277717997
2023-01-07,2023,15.0,74.5,23.99,29.79,19.28,67.7,0.48,12.96,0.0,1.6476567041571684
2023-01-08,2023,15.0,74.5,23.48,29.7,18.95,61.84,0.49,18.62,0.0,2.3648935484013087
2023-01-09,2023,15.0,74.5,21.84,30.12,15.42,50.85,0.56,20.77,0.0,2.9622165827572235
2023-01-10,2023,15.0,74.5,21.87,30.88,14.92,53.24,0.55,20.6,0.0,3.0636127159708906
2023-01-11,2023,15.0,74.5,21.97,30.78,14.74,60.21,0.59,19.99,0.0,2.987848455636989
2023-01-12,2023,15.0,74.5,22.25,31.24,15.2,60.11,0.53,20.02,0.0,3.0133999355450842
2023-01-13,2023,15.0,74.5,22.0,30.85,15.18,59.98,0.51,19.62,0.0,2.9007117386086834
2023-01-14,2023,15.0,74.5,22.22,30.63,15.26,69.74,0.49,19.6,0.0,2.885745908094294
2023-01-15,2023,15.0,74.5,22.65,31.28,15.71,68.02,0.44,20.23,0.0,3.0300285047403697
2023-01-16,2023,15.0,74.5,22.94,31.38,16.0,69.16,0.51,20.92,0.0,3.136525853819573
2023-01-17,2023,15.0,74.5,22.56,31.35,15.93,65.14,0.44,21.24,0.0,3.1588998406968067
2023-01-18,2023,15.0,74.5,23.16,32.15,16.1,60.41,0.43,21.24,0.0,3.2706944790292907
2023-01-19,2023,15.0,74.5,23.04,32.11,15.43,57.91,0.47,21.04,0.0,3.2931953321035072
2023-01-20,2023,15.0,74.5,22.81,31.36,15.8,56.98,0.56,20.78,0.0,3.1237144611496515
2023-01-21,2023,15.0,74.5,23.08,31.4,16.06,65.04,0.46,19.77,0.0,2.9704225648534335
2023-01-22,2023,15.0,74.5,23.61,31.45,17.15,62.7,0.36,20.29,0.0,2.9815582287331823
2023-01-23,2023,15.0,74.5,23.47,31.5,17.31,63.07,0.42,19.98,0.0,2.914802609131557
2023-01-24,2023,15.0,74.5,23.57,30.22,17.72,71.09,0.42,17.73,0.0,2.4335331245338896
2023-01-25,2023,15.0,74.5,23.83,29.15,19.59,72.19,0.38,16.71,0.01,2.0183654621938643
2023-01-26,2023,15.0,74.5,24.58,32.18,18.89,68.0,0.35,19.46,0.0,2.8213325402220737
2023-01-27,2023,15.0,74.5,24.1,32.63,17.9,60.87,0.41,21.32,0.0,3.2172928651433566
2023-01-28,2023,15.0,74.5,23.62,32.51,16.4,54.36,0.48,21.81,0.0,3.402526602914061
2023-01-29,2023,15.0,74.5,23.69,32.23,16.77,60.49,0.4,21.3,0.0,3.2607370801075937
2023-01-30,2023,15.0,74.5,24.46,31.99,18.07,67.57,0.38,19.1,0.0,2.8259890628537327
2023-01-31,2023,15.0,74.5,25.83,32.92,20.51,67.81,0.29,16.2,0.0,2.336544826646911
2023-02-01,2023,15.0,74.5,26.41,34.1,20.38,57.32,0.37,15.14,0.0,2.32654493461488
2023-02-02,2023,15.0,74.5,26.35,33.28,21.17,50.2,0.47,17.73,0.0,2.5562275676871935
2023-02-03,2023,15.0,74.5,26.1,33.69,20.23,54.53,0.45,20.04,0.0,3.028815132855931
2023-02-04,2023,15.0,74.5,26.94,34.91,20.86,60.38,0.38,20.95,0.0,3.29690298919827
2023-02-05,2023,15.0,74.5,26.71,34.31,20.75,61.58,0.4,20.73,0.0,3.188414241131796
2023-02-06,2023,15.0,74.5,25.81,33.84,19.65,59.41,0.51,20.37,0.0,3.140192792919778
2023-02-07,2023,15.0,74.5,25.12,33.48,18.49,58.93,0.44,18.47,0.0,2.8801521061997213
2023-02-08,2023,15.0,74.5,26.37,35.88,19.55,58.43,0.41,19.49,0.0,3.264527488346777
2023-02-09,2023,15.0,74.5,26.33,35.36,19.22,57.08,0.43,20.71,0.0,3.445512189062567
2023-02-10,2023,15.0,74.5,26.95,35.67,19.94,55.09,0.42,22.0,0.0,3.6641064377318813
2023-02-11,2023,15.0,74.5,26.9,36.26,18.75,49.21,0.47,22.97,0.0,4.03180566258731
2023-02-12,2023,15.0,74.5,26.67,36.3,18.41,50.39,0.49,22.9,0.0,4.041995085887628
2023-02-13,2023,15.0,74.5,26.32,36.76,18.62,39.53,0.49,23.91,0.0,4.216205013612684
2023-02-14,2023,15.0,74.5,25.89,36.45,17.69,40.0,0.46,24.45,0.0,4.341755111993221
2023-02-15,2023,15.0,74.5,25.62,36.61,16.34,36.52,0.52,24.61,0.0,4.514569116145611
2023-02-16,2023,15.0,74.5,26.64,37.49,16.3,31.39,0.48,24.58,0.0,4.718559179539362
2023-02-17,2023,15.0,74.5,26.16,37.12,17.04,39.78,0.43,24.25,0.0,4.482695921843748
2023-02-18,2023,15.0,74.5,26.31,36.1,17.74,45.39,0.51,24.12,0.0,4.277979496821991
2023-02-19,2023,15.0,74.5,26.35,34.97,18.99,51.93,0.44,23.24,0.0,3.848958408993521
2023-02-20,2023,15.0,74.5,26.56,35.33,19.37,54.54,0.43,23.26,0.0,3.8681712299672553
2023-02-21,2023,15.0,74.5,26.93,35.83,20.35,63.28,0.43,23.7,0.0,3.9139991000452374
2023-02-22,2023,15.0,74.5,27.27,36.39,19.52,57.56,0.43,23.35,0.0,4.0562058155139855
2023-02-23,2023,15.0,74.5,26.57,35.2,19.05,48.01,0.44,23.48,0.0,3.9288168499409144
2023-02-24,2023,15.0,74.5,26.81,36.45,18.08,45.08,0.37,23.82,0.0,4.2738232530637505
2023-02-25,2023,15.0,74.5,27.23,35.93,20.36,52.39,0.29,23.39,0.0,3.89999880688064
2023-02-26,2023,15.0,74.5,27.15,36.83,18.6,39.38,0.45,23.76,0.0,4.2791495609280235
2023-02-27,2023,15.0,74.5,26.89,36.06,18.67,41.82,0.45,23.32,0.0,4.078276725477527
2023-02-28,2023,15.0,74.5,26.94,36.05,19.23,41.73,0.47,23.74,0.0,4.087687521092308
2023-03-01,2023,15.0,74.5,27.77,36.79,19.66,39.18,0.44,23.19,0.0,4.104369558107759
2023-03-02,2023,15.0,74.5,27.87,36.99,19.82,39.5,0.48,23.34,0.0,4.144813654513008
2023-03-03,2023,15.0,74.5,28.15,36.97,20.68,36.7,0.51,22.49,0.0,3.9140242531017924
2023-03-04,2023,15.0,74.5,28.63,37.49,20.32,34.42,0.51,21.31,0.0,3.8472931571929623
2023-03-05,2023,15.0,74.5,28.71,37.66,20.85,33.92,0.5,22.77,0.0,4.074564771288
2023-03-06,2023,15.0,74.5,28.06,36.61,20.17,37.43,0.46,23.3,0.0,4.065639593472025
2023-03-07,2023,15.0,74.5,28.42,37.09,20.29,36.14,0.43,23.68,0.0,4.209730357071775
2023-03-08,2023,15.0,74.5,28.28,37.08,20.49,37.38,0.46,22.35,0.0,3.9364178275263115
2023-03-09,2023,15.0,74.5,28.75,36.15,22.41,37.78,0.35,23.32,0.0,3.7759792309024425
2023-03-10,2023,15.0,74.5,28.54,37.24,20.68,38.48,0.43,22.96,0.0,4.062993041320302
2023-03-11,2023,15.0,74.5,28.47,36.95,20.62,40.01,0.4,22.65,0.0,3.9741915656618594
2023-03-12,2023,15.0,74.5,29.02,37.72,21.7,38.55,0.41,23.29,0.0,4.09562469423084
2023-03-13,2023,15.0,74.5,28.49,36.75,21.32,42.07,0.5,21.58,0.01,3.682218734325393
2023-03-14,2023,15.0,74.5,27.78,34.85,21.15,53.3,0.37,21.47,0.04,3.3990272627619
2023-03-15,2023,15.0,74.5,28.28,33.93,24.17,59.91,0.35,17.58,0.18,2.3748941028816453
2023-03-16,2023,15.0,74.5,28.28,34.2,24.1,60.36,0.44,20.29,0.1,2.7883237854084095
2023-03-17,2023,15.0,74.5,27.59,34.53,22.83,61.2,0.48,21.66,0.03,3.1557280129162124
2023-03-18,2023,15.0,74.5,26.4,33.97,19.73,62.81,0.53,22.86,0.01,3.5780094986390383
2023-03-19,2023,15.0,74.5,26.01,32.88,20.94,62.49,0.55,24.89,0.01,3.535805054333333
2023-03-20,2023,15.0,74.5,24.82,31.97,18.4,59.66,0.57,25.18,0.0,3.709770932994728
2023-03-21,2023,15.0,74.5,25.43,32.79,18.93,57.76,0.61,26.24,0.0,3.9629507988797132
2023-03-22,2023,15.0,74.5,26.85,34.78,20.22,59.37,0.49,25.35,0.0,4.052920766540711
2023-03-23,2023,15.0,74.5,27.21,34.79,20.0,53.49,0.54,24.92,0.0,4.047894052982397
2023-03-24,2023,15.0,74.5,27.35,35.21,20.36,54.64,0.47,26.12,0.0,4.264637811648931
2023-03-25,2023,15.0,74.5,27.44,34.91,21.01,53.35,0.48,23.77,0.0,3.762245896812047
2023-03-26,2023,15.0,74.5,27.05,34.6,20.74,51.16,0.49,26.12,0.0,4.092655922742018
2023-03-27,2023,15.0,74.5,26.85,35.19,20.09,56.76,0.42,27.03,0.0,4.400925144323977
2023-03-28,2023,15.0,74.5,27.23,35.67,19.47,58.6,0.41,26.39,0.0,4.488351321385955
2023-03-29,2023,15.0,74.5,27.36,35.11,20.54,56.51,0.45,26.94,0.0,4.357820119504354
2023-03-30,2023,15.0,74.5,26.97,35.01,20.44,59.57,0.42,27.15,0.0,4.353862438845007
2023-03-31,2023,15.0,74.5,26.89,34.33,21.71,58.12,0.43,26.97,0.0,4.017991166982277
2023-04-01,2023,15.0,74.5,26.71,34.77,19.14,60.53,0.44,27.11,0.0,4.476665038337591
2023-04-02,2023,15.0,74.5,26.45,34.17,19.52,54.09,0.49,27.72,0.0,4.405683680391196
2023-04-03,2023,15.0,74.5,25.97,34.21,18.94,60.16,0.48,27.51,0.0,4.41544678119481
2023-04-04,2023,15.0,74.5,26.62,35.16,19.76,60.53,0.43,27.11,0.0,4.434620204193957
2023-04-05,2023,15.0,74.5,28.25,37.11,21.51,60.87,0.46,25.53,0.01,4.35743329609841
2023-04-06,2023,15.0,74.5,28.74,37.42,22.84,60.78,0.41,22.28,0.1,3.7154235245877203
2023-04-07,2023,15.0,74.5,28.81,35.54,23.73,65.2,0.3,17.49,1.45,2.628947179049213
2023-04-08,2023,15.0,74.5,29.8,36.85,24.42,59.8,0.35,21.87,0.6,3.444128124338407
2023-04-09,2023,15.0,74.5,29.24,36.47,23.72,60.37,0.38,26.57,0.52,4.187954541730592
2023-04-10,2023,15.0,74.5,29.52,36.19,24.16,60.41,0.33,24.3,0.4,3.742586289995898
2023-04-11,2023,15.0,74.5,29.18,35.79,23.88,55.62,0.32,25.94,0.28,3.946634100446543
2023-04-12,2023,15.0,74.5,29.2,35.87,24.25,58.69,0.38,26.51,0.06,3.9856453227954094
2023-04-13,2023,15.0,74.5,28.44,34.1,22.69,61.96,0.37,22.54,0.32,3.303714872573851
2023-04-14,2023,15.0,74.5,28.69,33.55,24.63,62.79,0.35,19.34,1.06,2.519918194253498
2023-04-15,2023,15.0,74.5,28.95,35.23,24.64,62.09,0.32,22.52,1.11,3.215037038615231
2023-04-16,2023,15.0,74.5,29.81,37.1,24.19,57.17,0.34,24.44,0.45,3.9232908309558407
2023-04-17,2023,15.0,74.5,29.85,37.01,24.76,60.75,0.36,23.6,0.46,3.693439176
2023-04-18,2023,15.0,74.5,30.24,38.22,24.02,56.25,0.42,25.27,0.29,4.292797594320971
2023-04-19,2023,15.0,74.5,29.56,37.1,23.74,63.48,0.41,24.09,0.3,3.913269174367678
2023-04-20,2023,15.0,74.5,29.01,36.04,24.41,64.9,0.38,21.92,1.65,3.2836514167848208
2023-04-21,2023,15.0,74.5,29.24,36.38,24.07,61.68,0.41,22.49,0.07,3.483162965200449
2023-04-22,2023,15.0,74.5,29.39,37.28,23.29,54.69,0.46,26.84,0.0,4.445589368679903
2023-04-23,2023,15.0,74.5,28.56,36.62,21.85,56.66,0.5,28.14,0.0,4.7048498412253315
2023-04-24,2023,15.0,74.5,28.74,36.87,22.09,59.24,0.43,27.09,0.0,4.548420414801181
2023-04-25,2023,15.0,74.5,28.66,36.25,23.63,60.9,0.43,26.52,0.03,4.10743218434717
2023-04-26,2023,15.0,74.5,28.98,36.11,22.88,57.59,0.42,24.62,0.06,3.9311189692345296
2023-04-27,2023,15.0,74.5,29.18,36.46,24.14,56.56,0.4,23.35,0.04,3.613210389698552
2023-04-28,2023,15.0,74.5,28.89,34.35,25.38,58.56,0.31,20.94,0.08,2.7477978026617995
2023-04-29,2023,15.0,74.5,29.62,36.38,24.26,61.18,0.37,20.59,1.6,3.1897541069742443
2023-04-30,2023,15.0,74.5,29.06,35.05,24.46,58.52,0.45,25.09,0.53,3.590367671226906
2023-05-01,2023,15.0,74.5,29.11,36.07,23.19,51.63,0.47,27.5,0.0,4.344542573827298
2023-05-02,2023,15.0,74.5,28.96,35.85,23.04,54.33,0.49,26.29,0.0,4.128836188358102
2023-05-03,2023,15.0,74.5,28.43,34.6,23.46,62.5,0.45,24.0,0.0,3.4750873832953637
2023-05-04,2023,15.0,74.5,29.0,35.18,24.08,59.49,0.44,23.03,0.0,3.369684804911793
2023-05-05,2023,15.0,74.5,28.35,34.42,23.89,59.13,0.44,25.32,0.0,3.55825928599199
2023-05-06,2023,15.0,74.5,28.88,35.31,23.76,58.29,0.49,25.08,0.06,3.733682384243417
2023-05-07,2023,15.0,74.5,28.68,34.07,24.88,61.63,0.45,23.11,0.11,3.055707778118473
2023-05-08,2023,15.0,74.5,27.33,31.58,25.11,76.02,0.37,17.56,14.57,1.891602958256056
2023-05-09,2023,15.0,74.5,27.36,32.66,24.63,85.15,0.34,15.46,26.15,1.8565608777867835
2023-05-10,2023,15.0,74.5,28.21,33.41,25.08,81.52,0.31,19.63,3.49,2.4461497062756203
2023-05-11,2023,15.0,74.5,28.48,33.29,25.62,78.9,0.31,18.43,0.84,2.21668696050278
2023-05-12,2023,15.0,74.5,28.36,33.71,25.53,79.53,0.34,21.51,1.08,2.664838299485582
2023-05-13,2023,15.0,74.5,28.63,33.94,25.44,74.58,0.41,23.04,0.45,2.926702781967086
2023-05-14,2023,15.0,74.5,28.8,34.69,25.15,70.28,0.42,25.89,0.14,3.496875365360452
2023-05-15,2023,15.0,74.5,28.88,35.09,24.94,69.39,0.47,26.16,0.07,3.65081315920694
2023-05-16,2023,15.0,74.5,29.42,36.85,23.59,63.61,0.45,27.93,0.0,4.506679562158432
2023-05-17,2023,15.0,74.5,29.82,37.64,23.42,62.03,0.41,28.07,0.0,4.7300921436209
2023-05-18,2023,15.0,74.5,29.92,37.64,23.34,61.56,0.43,27.0,0.0,4.572147336488558
2023-05-19,2023,15.0,74.5,29.59,36.5,23.9,65.15,0.46,24.36,0.0,3.845362301493651
2023-05-20,2023,15.0,74.5,29.46,35.99,25.32,67.44,0.43,26.1,0.01,3.7809804644191285
2023-05-21,2023,15.0,74.5,29.41,36.49,24.93,68.78,0.4,25.49,1.33,3.8394653454239998
2023-05-22,2023,15.0,74.5,29.51,37.3,24.32,69.65,0.36,24.62,5.47,3.937915039335969
2023-05-23,2023,15.0,74.5,29.38,36.85,24.86,70.57,0.35,24.45,3.78,3.7483004120609427
2023-05-24,2023,15.0,74.5,28.94,35.37,24.6,69.13,0.4,24.52,0.6,3.5294336717337926
2023-05-25,2023,15.0,74.5,28.4,34.61,24.31,68.14,0.48,25.1,0.23,3.4923865621916077
2023-05-26,2023,15.0,74.5,28.45,34.53,24.11,69.62,0.45,25.22,0.59,3.5332850668559104
2023-05-27,2023,15.0,74.5,28.67,34.77,24.4,70.28,0.53,26.63,1.85,3.7395661178196287
2023-05-28,2023,15.0,74.5,29.11,36.24,23.29,66.16,0.49,25.31,0.39,4.009409927915869
2023-05-29,2023,15.0,74.5,29.45,36.68,24.67,70.2,0.36,24.92,2.88,3.829211492173536
2023-05-30,2023,15.0,74.5,28.65,33.93,25.51,74.96,0.32,21.2,4.9,2.6814248144731025
2023-05-31,2023,15.0,74.5,28.2,32.59,25.58,74.72,0.32,23.01,7.7,2.629792354561695
2023-06-01,2023,15.0,74.5,26.75,30.08,24.72,79.47,0.28,7.14,1.02,0.6910608883502654
2023-06-02,2023,15.0,74.5,27.92,33.32,24.51,71.34,0.38,23.56,0.38,3.0002501155984875
2023-06-03,2023,15.0,74.5,29.29,36.3,24.51,69.46,0.45,26.29,0.23,3.9890013033007112
2023-06-04,2023,15.0,74.5,28.75,34.5,25.22,74.31,0.44,23.73,1.19,3.1577621203293424
2023-06-05,2023,15.0,74.5,27.92,31.99,25.24,79.05,0.44,23.35,1.48,2.602753218265931
2023-06-06,2023,15.0,74.5,28.84,34.74,25.02,74.18,0.46,25.14,1.25,3.430401445437809
2023-06-07,2023,15.0,74.5,28.44,34.28,24.99,75.41,0.48,24.54,3.33,3.245549520032982
2023-06-08,2023,15.0,74.5,28.18,32.62,24.85,78.13,0.53,23.21,14.16,2.7915320338127914
2023-06-09,2023,15.0,74.5,27.89,31.74,25.16,81.68,0.51,24.01,2.81,2.6406708054404646
2023-06-10,2023,15.0,74.5,26.72,29.29,25.07,86.4,0.59,17.77,17.52,1.5250595705815206
2023-06-11,2023,15.0,74.5,27.24,31.3,24.79,80.66,0.6,19.02,8.69,2.051102612750662
2023-06-12,2023,15.0,74.5,27.66,31.98,24.83,78.86,0.66,23.85,9.34,2.720563297366188
2023-06-13,2023,15.0,74.5,27.73,31.81,24.92,80.57,0.63,23.37,9.36,2.620921254401571
2023-06-14,2023,15.0,74.5,27.7,31.55,25.14,81.59,0.63,21.57,9.4,2.331731585250606
2023-06-15,2023,15.0,74.5,27.83,32.22,25.1,80.85,0.56,21.65,2.7,2.4736392614485396
2023-06-16,2023,15.0,74.5,27.59,31.9,24.72,81.61,0.57,21.72,3.52,2.4789640284491608
2023-06-17,2023,15.0,74.5,27.16,30.92,24.84,84.74,0.55,19.58,12.1,2.0369425427585437
2023-06-18,2023,15.0,74.5,27.12,30.86,24.81,84.15,0.53,18.12,13.01,1.878726785925897
2023-06-19,2023,15.0,74.5,27.11,31.15,24.45,84.32,0.47,19.66,4.86,2.144627986329481
2023-06-20,2023,15.0,74.5,27.45,31.88,24.81,81.82,0.48,22.36,5.46,2.524573904418739
2023-06-21,2023,15.0,74.5,27.3,31.25,24.92,83.75,0.48,21.93,23.7,2.335097547294375
2023-06-22,2023,15.0,74.5,25.9,28.49,23.78,88.57,0.39,17.91,25.85,1.5939528680221233
2023-06-23,2023,15.0,74.5,25.76,29.74,23.28,81.84,0.5,15.88,10.26,1.6498430334684693
2023-06-24,2023,15.0,74.5,25.15,27.96,23.35,90.9,0.5,10.81,59.97,0.9354645276619347
2023-06-25,2023,15.0,74.5,25.89,28.91,24.01,88.85,0.48,13.61,27.32,1.2351685043722638
2023-06-26,2023,15.0,74.5,25.79,28.14,23.91,89.22,0.56,16.83,50.77,1.4158888697222536
2023-06-27,2023,15.0,74.5,25.49,28.87,23.58,88.5,0.55,14.52,30.24,1.3566569290560002
2023-06-28,2023,15.0,74.5,24.82,27.0,23.45,90.83,0.5,12.73,26.3,0.9592769842868498
2023-06-29,2023,15.0,74.5,24.91,28.33,22.88,86.24,0.59,12.05,40.84,1.1274644799211826
2023-06-30,2023,15.0,74.5,25.57,29.09,22.4,88.54,0.65,13.4,40.0,1.4105720639886405
2023-07-01,2023,15.0,74.5,25.59,28.17,23.93,90.81,0.54,12.5,16.7,1.0480224612036815
2023-07-02,2023,15.0,74.5,25.86,28.17,24.41,90.64,0.69,11.33,34.73,0.9001099506215305
2023-07-03,2023,15.0,74.5,25.82,27.5,24.86,93.26,0.71,14.12,48.22,0.9390967131221815
2023-07-04,2023,15.0,74.5,25.48,26.97,24.2,94.57,0.76,12.14,85.24,0.8206043644697382
2023-07-05,2023,15.0,74.5,24.63,26.33,22.98,94.3,0.71,8.83,73.62,0.6434934608309721
2023-07-06,2023,15.0,74.5,24.17,26.0,22.99,91.11,0.75,8.81,62.09,0.6019856302643226
2023-07-07,2023,15.0,74.5,24.93,27.26,23.24,91.16,0.68,8.85,39.12,0.7115037430821791
2023-07-08,2023,15.0,74.5,25.27,27.69,23.69,90.58,0.66,7.36,32.41,0.59493659136
2023-07-09,2023,15.0,74.5,25.69,28.42,23.97,90.45,0.57,11.44,23.57,0.9848802685453385
2023-07-10,2023,15.0,74.5,25.32,28.0,23.86,92.07,0.5,14.65,16.77,1.206158957720077
2023-07-11,2023,15.0,74.5,25.3,28.25,23.6,91.49,0.5,13.05,10.65,1.138157219128253
2023-07-12,2023,15.0,74.5,25.15,27.61,23.39,91.38,0.59,15.93,15.06,1.318934318094525
2023-07-13,2023,15.0,74.5,25.19,27.18,24.01,92.23,0.67,13.28,69.06,0.9538567346594509
2023-07-14,2023,15.0,74.5,24.98,27.62,22.93,91.58,0.63,13.17,20.3,1.1449881069551617
2023-07-15,2023,15.0,74.5,25.3,28.21,23.33,90.98,0.55,12.18,14.67,1.0882344460245557
2023-07-16,2023,15.0,74.5,25.07,26.82,23.83,94.36,0.53,12.59,8.42,0.8757956966422697
2023-07-17,2023,15.0,74.5,25.41,27.51,24.23,92.76,0.63,11.43,21.21,0.8393738165057666
2023-07-18,2023,15.0,74.5,24.96,26.31,23.97,94.59,0.75,4.97,30.25,0.3050633345484048
2023-07-19,2023,15.0,74.5,24.51,25.84,23.64,95.2,0.74,6.21,44.02,0.36570758252482227
2023-07-20,2023,15.0,74.5,24.85,26.22,24.09,94.78,0.76,5.84,61.11,0.341121963989793
2023-07-21,2023,15.0,74.5,24.81,26.12,24.03,95.0,0.74,8.98,58.47,0.5190975905189692
2023-07-22,2023,15.0,74.5,24.37,25.89,23.49,94.14,0.79,7.83,70.87,0.4800196136295074
2023-07-23,2023,15.0,74.5,24.76,26.42,23.62,93.54,0.87,4.72,128.34,0.31543554665241486
2023-07-24,2023,15.0,74.5,24.38,25.95,23.47,94.41,0.74,8.99,67.32,0.5603767480948523
2023-07-25,2023,15.0,74.5,24.06,25.68,23.02,95.38,0.64,5.69,44.04,0.3645359026347069
2023-07-26,2023,15.0,74.5,24.28,26.42,23.28,95.16,0.75,8.19,74.83,0.5730763102858526
2023-07-27,2023,15.0,74.5,23.98,25.33,22.96,96.25,0.68,5.57,33.73,0.33619078321132273
2023-07-28,2023,15.0,74.5,24.82,27.02,23.44,93.23,0.7,13.6,31.44,1.0291575541646067
2023-07-29,2023,15.0,74.5,24.71,27.19,23.18,92.07,0.68,16.16,8.85,1.2909001367932624
2023-07-30,2023,15.0,74.5,24.79,27.4,23.14,91.82,0.64,15.39,9.98,1.269518571827735
2023-07-31,2023,15.0,74.5,24.92,27.36,23.58,91.65,0.69,13.32,14.37,1.0381721346124704
2023-08-01,2023,15.0,74.5,24.88,27.51,23.24,91.62,0.69,12.02,10.32,0.9947886350606175
2023-08-02,2023,15.0,74.5,24.63,27.04,23.27,91.71,0.67,12.55,6.04,0.9702316368633778
2023-08-03,2023,15.0,74.5,24.78,27.61,23.18,90.72,0.68,12.08,6.09,1.0159268853976395
2023-08-04,2023,15.0,74.5,25.11,27.92,23.5,90.47,0.68,15.0,10.13,1.2698397196747107
2023-08-05,2023,15.0,74.5,25.04,27.94,23.22,89.86,0.61,12.67,2.98,1.1065857554987621
2023-08-06,2023,15.0,74.5,24.99,28.2,23.24,90.61,0.56,16.47,5.63,1.4728710399015057
2023-08-07,2023,15.0,74.5,24.89,28.29,23.06,90.32,0.56,14.52,3.47,1.3302449371919856
2023-08-08,2023,15.0,74.5,25.03,28.53,22.87,89.6,0.49,12.33,5.1,1.1789825187792553
2023-08-09,2023,15.0,74.5,24.89,28.56,22.46,90.71,0.47,17.05,7.42,1.686954832698279
2023-08-10,2023,15.0,74.5,25.22,29.17,22.89,89.52,0.48,18.91,2.0,1.9130651304694395
2023-08-11,2023,15.0,74.5,25.13,28.77,22.96,88.88,0.48,18.61,0.43,1.807104747755881
