sample_id,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_median,evi_mean,evi_std,evi_max,savi_mean,savi_max,ndwi_mean,ndwi_std,ndwi_min,ndmi_mean,ndmi_std,lswi_mean,vv_db_mean,vv_db_std,vh_db_mean,vh_db_std,vh_vv_ratio_mean,vh_vv_ratio_std,rvi_mean,rvi_max,vci_mean,vci_min,ndwi_anomaly_mean,ndwi_anomaly_min,sar_moisture_proxy_mean,sar_moisture_proxy_min,csi_mean,csi_min,temp_mean_mean,temp_max_max,temp_min_min,temp_range_mean,rh_mean_mean,wind_mean_mean,solar_rad_mean,precip_8day_sum,precip_8day_mean,precip_8day_max,eto_8day_sum,eto_8day_mean,etc_8day_sum,water_deficit_sum,water_deficit_mean,water_deficit_max,advisory_0_frac,advisory_1_frac,advisory_2_frac,advisory_3_frac,ndvi_peak_day,ndvi_amplitude,green_up_rate,senescence_rate,season_length,stress_flag,stress_intensity,clay_pct,sand_pct,silt_pct,awc_mm_m,bulk_density,soc_g_kg,ph_water,cec_cmol_kg,nitrogen_g_kg,elevation_m,slope_deg,aspect_deg,twi,latitude,longitude,crop_type,crop_class,crop_label,season,confidence
0,0.3622563043478261,0.1380182092069931,0.04665,0.52225,0.402785,0.48728608695652176,0.1673264877149296,0.662,0.3622563043478261,0.52225,0.2568708695652174,0.09207329128534479,0.05011,0.23382478260869566,0.09101198152475751,0.2005204347826087,-7.119521739130435,1.8105926437879754,-13.386630434782608,2.73465769833322,-6.267130434782609,1.2254464512294767,0.7789652173913043,1.219,0.6635960982923172,0.0,1.7377403863698103e-16,-2.2456118020636815,-8.688701931849052e-17,-1.8471670396979525,0.5658501253026091,0.06905403482504878,24.806956521739128,40.83,11.91,14.50391304347826,65.76760869565217,2.561086956521739,18.985869565217392,1400.82,30.452608695652174,347.06,984.24,21.396521739130435,824.1785,580.7685,12.625402173913043,33.3365,0.34782608695652173,0.1956521739130435,0.43478260869565216,0.021739130434782608,144.0,0.4756,0.02083622222222222,0.021304666666666666,272.0,0.0,0.0,40.2,24.0,35.8,144.6,1.412,12.99,8.51,22.6,1.44,398.9,0.48,212.2,12.95,15.95914,74.537516,Sugarcane,Sugarcane,0,Kharif_2023,0.78
1,0.3929495652173913,0.10718688711169687,0.08191,0.55024,0.414355,0.5261295652173913,0.12192298964613363,0.68772,0.3929495652173913,0.55024,0.27520543478260867,0.07997848771059274,0.04908,0.258125,0.0720371252048399,0.21631282608695654,-7.092065217391305,1.9514204217233242,-13.343608695652176,3.027308723956796,-6.251326086956522,1.3001854577858047,0.7830108695652175,1.2213,0.6641461474118493,0.0,3.209992658155344e-16,-2.8273282135673528,6.275173617446537e-16,-1.7508591913348137,0.5678914380503287,0.027381403195340437,26.282608695652176,40.94,10.8,15.671086956521739,58.04326086956521,3.1482608695652172,19.208913043478262,542.49,11.793260869565218,102.92,1067.69,23.210652173913044,894.38,640.2695,13.918902173913043,37.889,0.2391304347826087,0.30434782608695654,0.41304347826086957,0.043478260869565216,64.0,0.46832999999999997,0.02714088888888889,0.024150222222222222,336.0,1.0,0.4437,45.5,16.0,38.5,111.1,1.373,6.7,7.69,30.5,1.18,678.0,1.67,332.6,10.95,15.334816,75.604707,Sugarcane,Sugarcane,0,Kharif_2023,0.9
2,0.3580078260869565,0.12653948093448575,0.0831,0.5297,0.39583999999999997,0.4845426086956522,0.15342927614933902,0.66892,0.3580078260869565,0.5297,0.25552086956521736,0.09038669378044749,0.05328,0.23460478260869563,0.08739460669194972,0.1981704347826087,-7.331782608695653,1.8233451908577687,-13.758326086956522,2.7463131087522306,-6.426521739130435,1.1409400361910238,0.7544847826086957,1.1399,0.6155571564866917,0.0,3.8616453030440226e-16,-2.237507105376237,1.7377403863698103e-16,-1.7017993680869585,0.5469021888758114,0.04322938358930024,26.28,41.3,10.77,16.161739130434785,56.08391304347826,3.068260869565217,18.985869565217392,520.26,11.31,124.1,1074.77,23.364565217391306,909.3555,684.8745,14.888576086956522,41.696999999999996,0.2826086956521739,0.15217391304347827,0.4782608695652174,0.08695652173913043,144.0,0.44659999999999994,0.018264000000000002,0.018925777777777777,288.0,1.0,0.2809,45.3,30.0,24.7,155.7,1.305,5.05,6.93,44.9,0.71,438.0,1.12,150.3,12.08,16.338269,74.630408,Sugarcane,Sugarcane,0,Kharif_2023,0.83
3,0.4158815217391304,0.10961631833034494,0.09924,0.54222,0.45002,0.5500032608695652,0.1259644879595365,0.68042,0.4158815217391304,0.54222,0.29178086956521737,0.0818983376530816,0.0697,0.2687434782608696,0.0742211651220681,0.23070195652173914,-7.443260869565217,1.898375626509061,-13.638956521739132,3.007873142689377,-6.195739130434783,1.396966466387995,0.7935369565217391,1.2481,0.7147986855820363,0.0,2.220446049250313e-16,-2.71166516841824,5.261491725397481e-16,-1.6377165008549635,0.5887074465476305,0.1748463337809265,25.56695652173913,41.5,12.99,12.943478260869565,72.99260869565217,1.296304347826087,17.217173913043478,1985.6799999999998,43.166956521739124,213.57,860.14,18.698695652173914,718.4575,416.6985,9.058663043478262,47.7965,0.5434782608695652,0.17391304347826086,0.2608695652173913,0.021739130434782608,160.0,0.44298000000000004,0.01933533333333334,0.02183444444444445,328.0,1.0,0.1916,52.8,16.4,30.7,199.7,1.4,10.11,8.21,39.5,1.29,747.7,3.04,84.0,11.21,15.044696,74.827957,Sugarcane,Sugarcane,0,Kharif_2023,0.85
4,0.3512202173913044,0.14061641438070102,0.05858,0.5527,0.3892,0.47460130434782605,0.16893741062704845,0.68994,0.3512202173913044,0.5527,0.2489408695652174,0.10060562488860678,0.0556,0.22790717391304346,0.09165859076335747,0.19481065217391305,-7.473217391304348,1.835615778158423,-13.911630434782607,2.84355592218769,-6.4384999999999994,1.213810981990195,0.7545608695652174,1.1027,0.5922452387907884,0.0,-1.882552085233961e-16,-1.9217699783614441,-5.551115123125783e-16,-1.617822786364651,0.5368980955163153,0.11160336799797399,25.56695652173913,41.5,12.99,12.943478260869565,72.99260869565217,1.296304347826087,17.217173913043478,1985.6799999999998,43.166956521739124,213.57,860.14,18.698695652173914,707.809,402.94800000000004,8.759739130434783,28.6715,0.5434782608695652,0.15217391304347827,0.30434782608695654,0.0,104.0,0.49411999999999995,0.021613333333333335,0.02192177777777778,280.0,1.0,0.3945,51.1,9.4,39.5,239.2,1.279,2.74,7.68,32.5,1.14,751.3,6.3,28.4,10.06,15.039804,74.798256,Sugarcane,Sugarcane,0,Kharif_2023,0.89
5,0.37019760869565216,0.12754425766393204,0.1051,0.51213,0.410535,0.4980334782608696,0.15227901165977303,0.65252,0.37019760869565216,0.51213,0.258825652173913,0.09032798571261594,0.05232,0.24593217391304348,0.08533985435794783,0.20123391304347826,-7.862,1.706073933528869,-14.588391304347827,2.6387863075307143,-6.726282608695652,1.111203544971617,0.7128652173913044,0.9955,0.6512974687262664,0.0,3.6685630378918216e-16,-2.2861757687249162,2.0273637840981118e-16,-1.8029533812854215,0.5609855784177755,0.057869828427330905,25.785652173913046,40.83,10.97,15.586521739130434,58.73521739130435,3.033478260869565,18.71913043478261,638.6,13.882608695652175,149.54,1035.21,22.504565217391306,872.4715,646.796,14.060782608695654,36.817,0.32608695652173914,0.15217391304347827,0.4782608695652174,0.043478260869565216,120.0,0.40703,0.018933333333333337,0.019267555555555555,288.0,0.0,0.0,54.9,15.8,29.4,249.6,1.548,13.96,8.3,29.2,1.85,542.8,6.31,164.4,10.48,15.817412,74.830661,Sugarcane,Sugarcane,0,Kharif_2023,0.88
6,0.39574282608695655,0.12603691788366428,0.06269,0.5517,0.436195,0.5259289130434783,0.15150001889590292,0.68904,0.39574282608695655,0.5517,0.2757302173913044,0.08890186845903325,0.02283,0.2592632608695652,0.08324845749800473,0.21684521739130436,-7.170826086956522,1.7092893299633543,-13.643130434782607,2.8089185234708345,-6.472304347826087,1.2599380914167566,0.7509152173913043,1.1486,0.6810756959713636,0.0,-2.703151712130816e-16,-2.844712060330239,-4.1995392670603747e-16,-1.6981160277029015,0.5755303487396156,0.05010213523881375,25.135217391304348,41.2,11.07,14.889130434782608,63.56934782608696,2.8845652173913043,18.985869565217392,1126.8,24.495652173913044,303.69,1005.8,21.86521739130435,844.228,605.1105,13.154576086956522,39.0565,0.32608695652173914,0.2391304347826087,0.391304347826087,0.043478260869565216,112.0,0.48900999999999994,0.020134222222222227,0.021577333333333334,304.0,0.0,0.0,38.4,22.8,38.8,139.6,1.356,11.21,7.0,25.0,0.34,402.0,1.07,135.6,10.58,16.214146,74.509748,Sugarcane,Sugarcane,0,Kharif_2023,0.94
7,0.35710652173913043,0.12734336512345737,0.09134,0.52093,0.402695,0.4834458695652174,0.1538126442219897,0.66077,0.35710652173913043,0.52093,0.24550347826086957,0.09435189627058414,0.03458,0.23580760869565215,0.08101795206234734,0.1976054347826087,-7.213282608695652,1.821231789056131,-13.441521739130433,2.8981094737326867,-6.228217391304348,1.3653863907829398,0.7880065217391304,1.3578,0.6186515555276669,0.0,-6.275173617446536e-17,-2.2354980302248433,-5.526979839981758e-16,-1.817901742022157,0.5478813881277962,0.052863852348320126,25.785652173913046,40.83,10.97,15.586521739130434,58.73521739130435,3.033478260869565,19.33717391304348,638.6,13.882608695652175,149.54,1061.2,23.069565217391304,900.213,656.5074999999999,14.271902173913043,36.195,0.30434782608695654,0.15217391304347827,0.5,0.043478260869565216,136.0,0.42959,0.022336444444444443,0.02466977777777778,288.0,1.0,0.2691,42.7,17.7,39.7,153.1,1.347,9.06,8.47,34.3,0.95,390.3,0.02,46.9,12.97,16.047209,75.010376,Sugarcane,Sugarcane,0,Kharif_2023,0.75
8,0.36002434782608694,0.13531090678962981,0.08223,0.50761,0.40239,0.4853656521739131,0.16295563998493126,0.64825,0.36002434782608694,0.50761,0.24892543478260867,0.10078057623055305,0.03618,0.23568391304347824,0.09072595780648104,0.19555217391304347,-7.509347826086957,1.7321487390251098,-14.163608695652172,2.7238131154546403,-6.654260869565218,1.2268289283040534,0.7251978260869565,1.0766,0.6530498561899641,0.0,1.9790932178100616e-16,-2.1109765665153235,-5.599385689413833e-16,-1.7645818933306576,0.5614008825300868,0.19897386366819347,26.28,41.3,10.77,16.161739130434785,56.08391304347826,3.068260869565217,19.33717391304348,520.26,11.31,124.1,1090.43,23.705000000000002,973.1635,767.0965,16.676010869565218,40.634499999999996,0.2391304347826087,0.17391304347826086,0.41304347826086957,0.17391304347826086,112.0,0.42538,0.015407777777777775,0.021556666666666665,280.0,0.0,0.0,32.8,19.0,48.3,194.5,1.109,14.22,8.19,43.3,0.72,456.1,8.93,281.6,8.5,16.43582,75.004892,Sugarcane,Sugarcane,0,Kharif_2023,0.73
9,0.40091543478260866,0.1168598411908047,0.07663,0.53387,0.428345,0.5330869565217391,0.13669124172332597,0.67276,0.40091543478260866,0.53387,0.2842017391304348,0.08578171655245649,0.04917,0.2625471739130435,0.08301213366900163,0.21459021739130435,-7.378608695652174,1.856342682424066,-13.712065217391304,2.830977706275689,-6.333521739130434,1.2623357140921203,0.7702782608695652,1.4981,0.7092236785552636,0.0,-9.654113257610057e-18,-2.7398815106096674,-1.0619524583371063e-16,-1.6305090543016738,0.586049002996209,0.0810579848675372,26.282608695652176,40.94,10.8,15.671086956521739,58.04326086956521,3.1482608695652172,19.208913043478262,542.49,11.793260869565218,102.92,1067.69,23.210652173913044,891.1235,637.013,13.848108695652174,37.889,0.2391304347826087,0.2826086956521739,0.43478260869565216,0.043478260869565216,136.0,0.45724,0.020953777777777776,0.02080044444444444,312.0,0.0,0.0,40.3,24.0,35.7,158.6,1.309,4.15,8.16,21.6,1.25,691.0,4.44,321.6,10.45,15.145075,75.771242,Sugarcane,Sugarcane,0,Kharif_2023,0.88
